Chapters,Verse,Verse_Number,Verse_Meaning
Chapter 7,"""Those who are endowed with faith in Me and worship Me exclusively, I grant them the wisdom to attain liberation.""",Verse 7.23,"Krishna to Arjuna: O Arjuna, I am never manifest to the ignorant, for I am covered by My divine energy. The deluded cannot understand Me as the unborn and eternal."
Chapter 7,"""Men of small intelligence, who are devoid of understanding, worship the demigods and achieve temporary results.""",Verse 7.24,"Krishna to Arjuna: I know everything about the past, present, and future, but no one truly knows Me in My entirety."
Chapter 7,"""I am never manifest to the foolish and unintelligent. For them, I am covered by My own maya, and so they do not know Me, who am the imperishable and the transcendental.""",Verse 7.25,"Krishna to Arjuna: All beings are born into illusion, overcome by desires and dualities. They fail to recognize Me as their eternal well-wisher."
Chapter 7,"""O Arjuna, I know all beings that have been created in the past, those that are present, and those that are yet to come. But no one knows Me.""",Verse 7.26,"Krishna to Arjuna: Those who strive to free themselves from old age and death take refuge in Me, knowing Me as the Supreme Brahman and the essence of all sacrifices."
Chapter 7,"""O scion of Bharata, as the Supreme Being, I am the cause of the creation and destruction of the universe. Everything is under My control.""",Verse 7.27,"Krishna to Arjuna: Those who take shelter in Me, even from lower backgrounds, can attain the highest destination. How much more, then, for righteous brahmanas and devoted kings!"
Chapter 7,"""Those who are free from the effects of sin and who are virtuous, they are blessed to be devoted to Me.""",Verse 7.28,"Krishna to Arjuna: Fix your mind on Me, become My devotee, offer your respects to Me, and surely, you will come to Me alone."
Chapter 7,"""Those who strive for liberation and who have supreme devotion to Me, are liberated from the material world and attain the eternal.""",Verse 7.29,"Krishna to Arjuna: By knowing Me as the ultimate goal of all sacrifices and the Supreme Lord of all, the wise engage in My service with full devotion."
Chapter 7,"""Those who possess the knowledge of the Self and worship Me, are freed from the bonds of material existence and become one with Me.""",Verse 7.30,"Krishna to Arjuna: Those who understand My divine nature, both as the ultimate cause and the Supreme Personality, attain Me and are freed from the cycle of birth and death."
Chapter 8,"""Arjuna said: O Krishna, what is the nature of Brahman? What is the nature of the self? What is the nature of action? And what is the nature of the divine?""",Verse 8.1,"Arjuna to Krishna: O Krishna, what is Brahman? What is karma? What is the nature of this material world? And how do the self-realized attain You at the time of death?"
Chapter 8,"""Krishna said: The Supreme Brahman is imperishable and beyond all material, transient aspects. It is that which is always present and is beyond all descriptions.""",Verse 8.2,"Krishna to Arjuna: Brahman is the eternal, imperishable reality. The self (Atman) is the individual soul, and karma refers to the actions that cause rebirth in this world."
Chapter 8,"""By meditating on the Supreme Brahman, one attains the ultimate truth, and by surrendering to that knowledge, one transcends the cycle of birth and death.""",Verse 8.3,"Krishna to Arjuna: The physical world is temporary and constantly changing, but My divine energy remains unmanifest and eternal, beyond time and space."
Chapter 8,"""Now, I will describe to you the method of attaining the Supreme. Those who remember Me at the time of death, with undistracted minds, attain My divine state.""",Verse 8.4,"Krishna to Arjuna: O Arjuna, at the moment of death, one who remembers Me alone and leaves the body attains My divine abode, without any doubt."
Chapter 8,"""Whoever leaves the body, remembering Me with a mind free from doubts, attains to the eternal, supreme, and transcendental world.""",Verse 8.5,"Krishna to Arjuna: Whatever state of mind one remembers at the time of death, that state one attains in the next life due to their constant thoughts."
Chapter 8,"""At the time of death, if one thinks of Me with devotion and a pure mind, one will undoubtedly reach My supreme abode.""",Verse 8.6,"Krishna to Arjuna: Therefore, O Arjuna, always remember Me while performing your duty. With a mind absorbed in Me, you will surely come to Me."
Chapter 8,"""Those who always meditate on the Supreme Being, without deviating from the path, attain the highest state of liberation.""",Verse 8.7,"Krishna to Arjuna: The Supreme Person is beyond material nature, unchanging, eternal, and self-illuminating. One who understands this transcends the cycle of birth and death."
Chapter 8,"""By remembering Me at the time of death, one is free from all material desires and attains liberation, transcending the influence of the gunas (modes of nature).""",Verse 8.8,"Krishna to Arjuna: Those who meditate on Me as the Supreme Being, with unwavering devotion and a mind fixed on Me alone, attain Me without fail."
Chapter 8,"""With a steady mind, one should remember the Supreme Being at the time of death, focusing their consciousness solely on Him.""",Verse 8.9,"Krishna to Arjuna: The highest destination, My divine abode, is reached by those who understand My supreme nature beyond this temporary world."
Chapter 8,"""Those who concentrate their mind on the Supreme and leave the body, their souls, freed from the bonds of material existence, reach the supreme abode.""",Verse 8.10,"Krishna to Arjuna: At the time of death, one who leaves the body while fixing the life force between the eyebrows and remembering Me attains the Supreme."
Chapter 8,"""O son of Kunti, the path that leads to the supreme goal is the path of meditation, wherein the yogi remembers the eternal Brahman with a steady mind.""",Verse 8.11,"Krishna to Arjuna: The great sages who practice meditation on the sacred syllable ""Om"" and focus on the divine goal attain liberation."
Chapter 8,"""Now I will describe the eternal, imperishable path, O Arjuna, which leads the soul to liberation and unity with Me.""",Verse 8.12,"Krishna to Arjuna: This world is temporary and full of suffering, but one who reaches My supreme abode never returns to this cycle of birth and death."
Chapter 8,"""Those who attain the knowledge of the imperishable, unchanging nature of the supreme soul, transcend death and enjoy eternal bliss.""",Verse 8.13,"Krishna to Arjuna: The material world is subject to repeated creation and dissolution, but My divine realm remains eternal and beyond destruction."
Chapter 8,"""By meditating on the ultimate reality, all desires and material attachments are dispelled, leading to liberation from birth and death.""",Verse 8.14,"Krishna to Arjuna: Those who meditate upon Me with an unwavering mind, free from distractions, attain Me effortlessly."
Chapter 8,"""Those who are able to leave the body by meditating on the Supreme at the end of their life, their souls enter the supreme spirit.""",Verse 8.15,"Krishna to Arjuna: Even great sages return to this world after enjoying heavenly pleasures, but My devotees, having reached Me, never return."
Chapter 8,"""O son of Bharata, from the time of birth until the end of one's life, the soul is carried through many forms of existence, ultimately attaining liberation.""",Verse 8.16,"Krishna to Arjuna: O Arjuna, all living beings pass through the cycle of creation and destruction, but those who attain My supreme abode are liberated forever."
Chapter 8,"""Those who have knowledge of the eternal, supreme soul are freed from the cycle of birth and death and attain unity with the divine.""",Verse 8.17,"Krishna to Arjuna: One day of Brahma lasts thousands of ages, and at its end, all beings merge into unmanifest nature, only to be reborn again."
Chapter 8,"""At the time of death, the soul leaves the material body and travels according to the consciousness cultivated throughout its life.""",Verse 8.18,"Krishna to Arjuna: The cycle of creation repeats endlessly, but those who take refuge in Me transcend this process and attain liberation."
Chapter 8,"""Those who have attained self-realization and meditated on the divine during their lifetime, leave their bodies and attain supreme liberation.""",Verse 8.19,"Krishna to Arjuna: Beyond this temporary world is My eternal, unmanifest realm, which remains untouched by destruction."
Chapter 8,"""By meditating on the supreme soul, the yogi reaches a state of union with Me, O Arjuna, and attains eternal bliss.""",Verse 8.20,"Krishna to Arjuna: The supreme destination is My abode, which can only be attained through unwavering devotion and surrender to Me."
Chapter 8,"""The path of meditation is the highest of all paths. Those who follow it attain union with Me and transcend the cycles of birth and death.""",Verse 8.21,"Krishna to Arjuna: O Arjuna, those who attain My divine realm are freed from the cycle of birth and death and experience eternal bliss."
Chapter 8,"""By meditating on the Supreme, one transcends all modes of material nature and is freed from the influence of the material world.""",Verse 8.22,"Krishna to Arjuna: The path of light leads to liberation, while the path of darkness leads back to the cycle of birth and death. The wise choose the path of light."
Chapter 8,"""At the time of death, those who have practiced meditation on Me with steadfast concentration, attain liberation and reach the supreme state.""",Verse 8.23,"Krishna to Arjuna: Yogis who die during the bright lunar phases and at auspicious times attain liberation, while those who pass away during the dark phases are reborn."
Chapter 8,"""O Arjuna, it is said that by remembering Me at the time of death, one reaches the highest state of perfection.""",Verse 8.24,"Krishna to Arjuna: The soul, depending on its spiritual advancement, follows different paths after death. The path of light leads to eternal liberation, while the path of darkness leads back to rebirth."
Chapter 8,"""Those who are devoted to meditation, and who leave the body with a mind fixed on Me, reach the transcendental world of the eternal, supreme soul.""",Verse 8.25,"Krishna to Arjuna: My devotees transcend these two paths, for they fix their minds on Me alone and are not bound by the results of their actions."
Chapter 8,"""By meditating on the supreme soul, who is beyond time and space, one attains immortality and eternal bliss.""",Verse 8.26,"Krishna to Arjuna: O Arjuna, through devotion and surrender to Me, one surpasses all karmic reactions and reaches the ultimate goal."
Chapter 8,"""Now, listen as I explain to you the path of meditation, which is the most powerful method to attain Me and ultimately reach liberation.""",Verse 8.27,"Krishna to Arjuna: The highest perfection is attained by those who renounce all desires, take refuge in Me, and engage in pure devotion."
Chapter 8,"""Those who follow this path of meditation with sincere devotion and understanding, will attain the eternal, supreme abode of the divine.""",Verse 8.28,"Krishna to Arjuna: Understanding this supreme wisdom, O Arjuna, My devotees engage in My service with full faith, knowing that I am the ultimate goal of all existence."
Chapter 9,"""Krishna said: I will now explain to you this most profound knowledge, which, when learned, will free you from all the bondage of material existence.""",Verse 9.1,"Krishna to Arjuna: O Arjuna, because you are free from envy, I shall now reveal to you the most confidential wisdom, which will liberate you from all bondage."
Chapter 9,"""This knowledge is the most secret of all secrets, and it is the essence of all wisdom. Those who understand it will attain the highest perfection.""",Verse 9.2,"Krishna to Arjuna: This knowledge is the king of sciences, the purest of all, and it gives direct realization of the truth. It is eternal and practiced joyfully."
Chapter 9,"""Those who do not have faith in this teaching and do not follow it, will be deluded and will not reach Me, but will go through the cycle of birth and death.""",Verse 9.3,"Krishna to Arjuna: Those who lack faith in this knowledge remain trapped in the cycle of birth and death, failing to attain Me."
Chapter 9,"""By My divine power, this entire universe is pervaded. All beings are sustained by My energy, but I am not attached to them.""",Verse 9.4,"Krishna to Arjuna: Everything in this universe is pervaded by Me in My unmanifest form. All beings exist within Me, but I am not limited by them."
Chapter 9,"""Although I am the creator of all beings, I am not dependent on them. I am beyond the material nature, and I am unaffected by it.""",Verse 9.5,"Krishna to Arjuna: Though all beings dwell within Me, I am not bound by them. My divine energy sustains them, just as the wind is sustained within space."
Chapter 9,"""As the all-pervading air moves everywhere in the sky, similarly, I permeate all of creation.""",Verse 9.6,"Krishna to Arjuna: O Arjuna, just as mighty winds blow through space but do not bind it, so do all beings exist within Me without affecting My supreme nature."
Chapter 9,"""At the end of each cycle of creation, O Arjuna, all beings enter into My nature, and at the beginning of the next cycle, I create them again.""",Verse 9.7,"Krishna to Arjuna: At the end of each cosmic cycle, all beings merge into My material energy, and at the beginning of a new cycle, I manifest them again."
Chapter 9,"""By My divine will, all living beings are created and sustained, and at the end of the cycle, they are absorbed back into My existence.""",Verse 9.8,"Krishna to Arjuna: By My will, creation unfolds again and again. I send forth all living beings according to their past karmic actions."
Chapter 9,"""O Arjuna, those who are attached to the material world and are under the influence of illusion, do not recognize the divine power that governs the creation and destruction of all things.""",Verse 9.9,"Krishna to Arjuna: Though I am the cause of creation, I am not bound by these actions, for I remain detached and beyond the material world."
Chapter 9,"""The world is deluded by the three gunas (modes of nature), and they do not understand the eternal and imperishable truth that I am beyond the gunas.""",Verse 9.10,"Krishna to Arjuna: Under My guidance, material nature produces all living beings, O Arjuna. This entire cosmic manifestation functions under My supervision."
Chapter 9,"""Fools mock Me when I appear in a human form. They do not know My transcendental nature, and they are deluded by material desires.""",Verse 9.11,Krishna to Arjuna: The ignorant do not recognize My divine form and consider Me an ordinary being. They fail to understand My transcendental nature.
Chapter 9,"""Those who are ignorant of the true nature of the Supreme and who are devoted to the external aspects of the world, are in the grip of the modes of nature.""",Verse 9.12,"Krishna to Arjuna: Such foolish people are deluded by material desires and engage in worthless endeavors, failing to surrender to Me."
Chapter 9,"""O Arjuna, great souls who have overcome the influence of the modes of nature, always remain absorbed in Me, knowing that I am the Supreme.""",Verse 9.13,"Krishna to Arjuna: But great souls, O Arjuna, take refuge in Me alone, knowing Me to be the eternal source of all creation and existence."
Chapter 9,"""Those who are free from all material desires and who meditate on Me with devotion and faith, are able to perceive My divine form.""",Verse 9.14,"Krishna to Arjuna: With unwavering devotion, they glorify Me, always absorbed in My thoughts and engaged in My service with determination."
Chapter 9,"""Others worship various forms of God with devotion, offering sacrifices and performing rituals, yet they ultimately come to Me, because all paths lead to Me.""",Verse 9.15,"Krishna to Arjuna: Some worship Me through knowledge, others through meditation, and some through sacrifices, seeing Me in various divine forms."
Chapter 9,"""I am the fire of sacrifice, the holy syllable Om, the Vedas, the sacrifice, the offerings, the sacred thread, the fire, and the offering to the ancestors.""",Verse 9.16,"Krishna to Arjuna: I am the ritual, the sacrifice, the offering, the sacred syllable Om, and I am the fire into which the offering is made."
Chapter 9,"""I am the father of this universe, the mother, the supporter, and the grandfather. I am the object of knowledge, the purifier, and the syllable Om.""",Verse 9.17,"Krishna to Arjuna: I am the father, mother, and sustainer of all beings. I am the purifier, the sacred sound, and the essence of the Vedas."
Chapter 9,"""I am the goal, the sustainer, the lord, the witness, the refuge, the friend, and the origin and the end of all creation.""",Verse 9.18,"Krishna to Arjuna: I am the goal, the sustainer, the master, and the witness. I am the abode, the refuge, and the dearest friend of all beings."
Chapter 9,"""I am the heat in the sun, the water in the ocean, the strength of the strong, and the wisdom of the wise.""",Verse 9.19,"Krishna to Arjuna: I give heat, I send forth rain, and I withhold it. I am both immortality and death, being and non-being."
Chapter 9,"""I am the power that sustains the universe, the knowledge in all beings, the wealth of the wealthy, and the eternal truth.""",Verse 9.20,"Krishna to Arjuna: Those who perform Vedic rituals, desiring heavenly pleasures, attain the celestial realms, enjoying divine luxuries earned by their merits."
Chapter 9,"""Those who know the knowledge of the self and meditate on Me with firm devotion, realize that I am the ultimate goal.""",Verse 9.21,"Krishna to Arjuna: But when their merits are exhausted, they return to the mortal world. Thus, those who seek temporary pleasures remain trapped in the cycle of birth and death."
Chapter 9,"""By meditating on Me with full devotion, they achieve liberation from the cycle of birth and death and attain the eternal supreme abode.""",Verse 9.22,"Krishna to Arjuna: Those who worship Me with exclusive devotion, thinking of Me alone, I personally provide for their needs and protect them."
Chapter 9,"""Even those who worship other gods with faith, they are ultimately worshiping Me, though in a less direct manner.""",Verse 9.23,"Krishna to Arjuna: Even those who worship other deities, with faith, in reality, worship Me alone, though they do so improperly."
Chapter 9,"""Whatever form of god a devotee desires to worship with faith, I make that faith unshakable, and I bless them according to their devotion.""",Verse 9.24,"Krishna to Arjuna: As the supreme enjoyer of all sacrifices, I am the Lord of all worship. But those who do not recognize Me remain bound by karma."
Chapter 9,"""Those who worship the gods attain the divine realms, but those who worship Me attain the ultimate, imperishable realm.""",Verse 9.25,"Krishna to Arjuna: Those who worship the gods go to the gods, those who worship ancestors go to them, and My devotees come to Me alone."
Chapter 9,"""Whoever offers Me with devotion a leaf, a flower, fruit, or water, I accept it from them, for it is the sincerity of the devotion that matters.""",Verse 9.26,"Krishna to Arjuna: If one offers Me with devotion a leaf, a flower, fruit, or water, I accept that loving offering from a pure heart."
Chapter 9,"""Whatever you do, whatever you eat, whatever you offer in sacrifice, whatever you give, and whatever you perform as penance, do it as an offering to Me.""",Verse 9.27,"Krishna to Arjuna: Whatever you do, whatever you eat, whatever sacrifices you make, do it as an offering to Me, O Arjuna."
Chapter 9,"""By doing this, you will be freed from the bondage of karma, and your actions will purify your mind and soul.""",Verse 9.28,"Krishna to Arjuna: By dedicating all your actions to Me, you will be freed from the bondage of karma and attain liberation."
Chapter 9,"""I am equal to all beings, but those who worship Me with devotion are dear to Me, and I am dear to them.""",Verse 9.29,"Krishna to Arjuna: I am equal to all beings, but those who worship Me with devotion are in Me, and I am in them."
Chapter 9,"""Even if a person commits the most heinous sins, if they are devoted to Me with a pure heart, they can cross over all the obstacles and attain the highest goal.""",Verse 9.30,"Krishna to Arjuna: Even if a devotee has committed great sins, if they surrender to Me wholeheartedly, they must be considered saintly because their determination is fixed on the right path."
Chapter 9,"""Those who are devoted to Me and who sincerely seek refuge in Me, I protect them from all dangers and guide them to liberation.""",Verse 9.31,"Krishna to Arjuna: Such a person quickly becomes virtuous and attains lasting peace. O Arjuna, declare boldly that My devotee never perishes."
Chapter 9,"""Arjuna, the divine is equally accessible to all beings, irrespective of their caste, creed, or social status, for they are all my children.""",Verse 9.32,"Krishna to Arjuna: Even those born in unfavorable circumstances—women, merchants, or laborers—if they take refuge in Me, can attain the supreme destination."
Chapter 9,"""Those who are free from attachment, who do not discriminate between others, and who are devoted to Me, are the ones who reach the highest goal.""",Verse 9.33,"Krishna to Arjuna: How much more, then, for the virtuous brahmanas and royal sages! Therefore, O Arjuna, engage in My devotion wholeheartedly."
Chapter 9,"""Fix your mind on Me, be devoted to Me, sacrifice to Me, and you will reach Me, for I am the ultimate goal of all beings.""",Verse 9.34,"Krishna to Arjuna: Always think of Me, worship Me, bow down to Me, and you will surely come to Me. I promise you this because you are dear to Me."
Chapter 10,"""Krishna said: Listen again, O mighty-armed Arjuna, to My supreme words, which I shall impart to you, for your benefit.""",Verse 10.1,"Krishna to Arjuna: O Arjuna, listen again to My supreme teachings. Because you are dear to Me, I will reveal profound knowledge that will benefit you greatly."
Chapter 10,"""Neither the gods nor the great sages know My origin, for I am the source of all the gods and sages.""",Verse 10.2,"Krishna to Arjuna: Neither the celestial beings nor the great sages fully understand My origin, for I am the source of both gods and sages."
Chapter 10,"""He who knows Me as the unborn, the beginningless, the supreme Lord of all the worlds, he is not deluded by the illusion of birth and death.""",Verse 10.3,"Krishna to Arjuna: One who truly understands Me as the unborn, eternal, and supreme Lord of all creation is freed from all sins."
Chapter 10,"""Intelligence, knowledge, freedom from doubt, forgiveness, truthfulness, self-control, calmness, purity, freedom from envy, and equanimity�these are My divine qualities.""",Verse 10.4,"Krishna to Arjuna: Intelligence, wisdom, non-delusion, patience, truthfulness, control of the senses, and peace of mind—all arise from Me."
Chapter 10,"""Those who possess these qualities are born of My divine nature and attain liberation.""",Verse 10.5,"Krishna to Arjuna: Fearlessness, purity, charity, self-restraint, sacrifice, study of scriptures, and humility are all qualities originating from Me."
Chapter 10,"""Those who are free from pride and delusion, who are devoted to Me, and who surrender to Me with a pure heart, they know Me in reality.""",Verse 10.6,"Krishna to Arjuna: The seven great sages, the four original ancestors, and the divine Manus were born from My mind and are the progenitors of all beings."
Chapter 10,"""Those who possess knowledge of the three gunas (modes of nature), and who know the ultimate purpose of life, reach the eternal realm of liberation.""",Verse 10.7,Krishna to Arjuna: One who understands My divine opulences and creative power develops unwavering devotion and faith in Me.
Chapter 10,"""I am the source of all material and spiritual worlds. Everything emanates from Me. The wise who know this, worship Me with devotion.""",Verse 10.8,"Krishna to Arjuna: I am the source of all creation. Everything originates from Me. The wise, knowing this, worship Me with devotion."
Chapter 10,"""With their minds absorbed in Me, and their hearts full of devotion, they engage in loving service to Me, and I grant them the highest wisdom.""",Verse 10.9,"Krishna to Arjuna: My devotees always discuss My glories, delight in My presence, and remain ever absorbed in Me."
Chapter 10,"""To those who are constantly devoted and who meditate upon Me with love, I give the understanding by which they can come to Me.""",Verse 10.10,"Krishna to Arjuna: To those who worship Me with love, I give the understanding by which they can attain Me."
Chapter 10,"""Out of compassion for them, I, who am seated in their hearts, destroy the darkness born of ignorance with the light of wisdom.""",Verse 10.11,"Krishna to Arjuna: Out of compassion, I dwell in their hearts and illuminate them with divine knowledge, dispelling the darkness of ignorance."
Chapter 10,"""Arjuna said: O Krishna, You have spoken to me of this supreme secret of knowledge and wisdom, and I now realize that You are the Supreme Divine Being.""",Verse 10.12,"Arjuna to Krishna: O Supreme Lord, You are the ultimate truth, the origin of all creation, and the eternal divine being. The sages confirm this, and now I understand it as well."
Chapter 10,"""You are the supreme reality, the ultimate truth, and the absolute knowledge. You are the eternal, imperishable, and transcendental existence.""",Verse 10.13,"Arjuna to Krishna: The great sages like Narada, Asita, and Vyasa have proclaimed Your divine glories, and You Yourself have declared the same."
Chapter 10,"""Now I have understood Your true nature, O Krishna, and I surrender to You completely, asking You to enlighten me further.""",Verse 10.14,"Arjuna to Krishna: O Krishna, I accept all that You have said as the absolute truth. Neither the gods nor the demons can comprehend Your greatness."
Chapter 10,"""Please tell me more, for my doubt is dispelled, and I have full faith in Your words.""",Verse 10.15,"Arjuna to Krishna: O Supreme Being, You alone know Yourself. You are the Creator and Lord of all beings, the source of the entire universe."
Chapter 10,"""Krishna said: I will now explain to you the divine manifestations of My glories, O Arjuna, which are in reality the expressions of My infinite power.""",Verse 10.16,Arjuna to Krishna: Please describe to me Your divine manifestations so that I may understand how You pervade all existence.
Chapter 10,"""Listen to this, for by knowing these glories, one can attain liberation and be free from the bondage of birth and death.""",Verse 10.17,"Arjuna to Krishna: O Supreme Lord, how should I meditate upon You? In what forms should I contemplate Your divine presence?"
Chapter 10,"""I am the Self within all living beings. I am the beginning, the middle, and the end of all creation.""",Verse 10.18,"Arjuna to Krishna: O Janardana, tell me in detail of Your limitless glories, which pervade all realms and aspects of existence."
Chapter 10,"""I am the light in the sun, the moon, and the fire. I am the taste in water, the sacred syllable Om in the Vedas, and the sound in space.""",Verse 10.19,"Krishna to Arjuna: O Arjuna, I shall now describe My divine manifestations, but My glories are limitless and beyond complete comprehension."
Chapter 10,"""I am the ability in man, the brilliance in fire, the life in all beings, and the penance of the ascetics.""",Verse 10.20,"Krishna to Arjuna: I am the Self residing in the hearts of all beings, and I am the beginning, middle, and end of all existence."
Chapter 10,"""I am the original fragrance of the earth, the heat in fire, the vitality in all beings, and the life-giving energy in the plants and trees.""",Verse 10.21,"Krishna to Arjuna: Among the Adityas, I am Vishnu; among luminaries, I am the radiant Sun; among the Maruts, I am Marichi; and among stars, I am the Moon."
Chapter 10,"""I am the seed of all creation, the creator of the universe, and the sustainer of all beings. I am the origin and the dissolution of the universe.""",Verse 10.22,"Krishna to Arjuna: Among the Vedas, I am the Sama Veda; among the gods, I am Indra; among senses, I am the mind; and among living beings, I am consciousness."
Chapter 10,"""I am the eternal time, the unmanifested, and the source of all that is manifest. I am the ultimate goal of all paths.""",Verse 10.23,"Krishna to Arjuna: Among the Rudras, I am Shiva; among the Yakshas and Rakshasas, I am Kubera; among Vasus, I am Agni; and among mountains, I am Meru."
Chapter 10,"""I am the support of the entire universe, the source of all knowledge, the ultimate objective of meditation, and the supreme goal of all living beings.""",Verse 10.24,"Krishna to Arjuna: Among priests, I am Brihaspati; among commanders, I am Kartikeya; and among water bodies, I am the ocean."
Chapter 10,"""I am the Vedic mantras, the knowledge of the Self, and the ultimate truth that transcends all worldly experiences.""",Verse 10.25,"Krishna to Arjuna: Among great sages, I am Bhrigu; among words, I am Om; among sacrifices, I am Japa (silent meditation); and among immovable things, I am the Himalayas."
Chapter 10,"""I am the eternal law of righteousness, and I am the protector of those who are devoted to Me, granting them protection from all dangers.""",Verse 10.26,"Krishna to Arjuna: Among trees, I am the Banyan tree; among celestial sages, I am Narada; among Gandharvas, I am Chitraratha; and among perfected beings, I am Kapila."
Chapter 10,"""I am the strength of the strong, the purity of the pure, the passion in the heart, and the self-control of the disciplined.""",Verse 10.27,"Krishna to Arjuna: Among horses, I am Ucchaishravas, born of nectar; among mighty elephants, I am Airavata; and among men, I am the king."
Chapter 10,"""I am the faith in the hearts of the faithful, the penance of the ascetics, the devotion of the devotees, and the righteousness of the righteous.""",Verse 10.28,"Krishna to Arjuna: Among weapons, I am the Vajra (thunderbolt); among cows, I am Kamadhenu; among serpents, I am Vasuki; and among Nagas, I am Ananta."
Chapter 10,"""I am the sacrifice in the Vedas, the offering in fire, the sustaining food, and the strength of the strong.""",Verse 10.29,"Krishna to Arjuna: Among water beings, I am Varuna; among the departed ancestors, I am Aryama; and among law enforcers, I am Yama, the lord of death."
Chapter 10,"""I am the mind of the yogi, the intellect of the wise, and the wisdom of those who are free from ignorance.""",Verse 10.30,"Krishna to Arjuna: Among demons, I am Prahlada; among subduers, I am time; among animals, I am the lion; and among birds, I am Garuda."
Chapter 10,"""I am the great and glorious form of all creation, beyond all dualities, and I am the eternal witness to the actions of all beings.""",Verse 10.31,"Krishna to Arjuna: Among purifiers, I am the wind; among warriors, I am Lord Rama; among water creatures, I am the Makara (crocodile); and among rivers, I am the Ganga."
Chapter 10,"""I am the destruction of the wicked, the protection of the righteous, and the salvation of those who seek liberation.""",Verse 10.32,"Krishna to Arjuna: O Arjuna, among all creations, I am the beginning, the middle, and the end. Among all sciences, I am the knowledge of the self."
Chapter 10,"""Among the powers of nature, I am the most powerful. Among the animals, I am the lion, and among the birds, I am the eagle.""",Verse 10.33,"Krishna to Arjuna: Among letters, I am the first letter (A); among compound words, I am the dual compound; I am the infinite time and the sustainer of all creation."
Chapter 10,"""Among the rivers, I am the Ganges. Among the mountains, I am Mount Meru, the king of all mountains.""",Verse 10.34,"Krishna to Arjuna: I am the all-devouring death and the generator of future beings. Among feminine qualities, I am fame, beauty, speech, memory, intelligence, patience, and forgiveness."
Chapter 10,"""Among the trees, I am the banyan tree, and among the sages, I am the sage Vasistha.""",Verse 10.35,"Krishna to Arjuna: Among hymns, I am the Brihat-Sama; among poetic meters, I am the Gayatri; among months, I am Margashirsha; and among seasons, I am spring."
Chapter 10,"""Among the weapons, I am the thunderbolt, and among the cows, I am the wish-fulfilling cow.""",Verse 10.36,"Krishna to Arjuna: Among deceivers, I am the gambling spirit; among the powerful, I am strength; among the victorious, I am perseverance; and among the virtuous, I am virtue itself."
Chapter 10,"""Among the serpents, I am Vasuki, and among the fish, I am the whale.""",Verse 10.37,"Krishna to Arjuna: Among the Vrishnis, I am Vasudeva (Krishna); among the Pandavas, I am Arjuna; among sages, I am Vyasa; and among poets, I am Ushana."
Chapter 10,"""Among the purifiers, I am the wind, and among the warriors, I am Rama, the hero of the Ramayana.""",Verse 10.38,"Krishna to Arjuna: Among punishments, I am the rod of chastisement; among seekers of victory, I am policy; among secrets, I am silence; and among the wise, I am wisdom."
Chapter 10,"""Among the rivers, I am the Yamuna, and among the mountains, I am the Himalayas.""",Verse 10.39,"Krishna to Arjuna: I am the seed of all existence, O Arjuna. There is no being—moving or unmoving—that can exist without Me."
Chapter 10,"""I am the great and mighty fire, and among the oceans, I am the ocean of milk.""",Verse 10.40,"Krishna to Arjuna: My divine manifestations are endless. Whatever is glorious, beautiful, or powerful in this world springs from My splendor."
Chapter 10,"""I am the sun and the moon, the eternal and the unchanging. I am the energy behind all creation.""",Verse 10.41,"Krishna to Arjuna: Just understand, O Arjuna, that all wonderful, majestic, and powerful things arise from but a spark of My infinite glory."
Chapter 10,"""With a single fragment of Myself, I pervade the entire universe and remain unattached, yet I am the essence of all creation.""",Verse 10.42,"Krishna to Arjuna: But why do you need to know all this in detail? With a mere fragment of My divine power, I pervade and sustain the entire universe."
Chapter 11,"""Arjuna said: O Krishna, I have heard from You in detail about the creation and dissolution of the universe, and Your divine manifestations. Yet, I still desire to see Your universal form.""",Verse 11.1,"Arjuna to Krishna: O Krishna, out of compassion, You have revealed the supreme mystery of the self and the nature of existence. My illusion is now dispelled, and my heart is clear. But I desire to see Your divine cosmic form in all its glory."
Chapter 11,"""O Krishna, You are the Supreme Being, the highest of all. Please show me Your divine, universal form, to help me understand the true nature of Your power.""",Verse 11.2,"Arjuna to Krishna: I have heard from You about Your infinite glories, how You pervade all creation, and how You are the origin and sustainer of the universe. Yet, O Supreme Lord, I wish to witness this truth directly."
Chapter 11,"""Krishna said: O Arjuna, behold My divine form, which is beyond the perception of the senses. With the divine vision granted by Me, you will see My universal form.""",Verse 11.3,"Arjuna to Krishna: If You think I am capable of seeing Your divine form, then please, O Lord of all beings, reveal to me Your universal manifestation. Let me witness Your supreme, infinite power as it truly is."
Chapter 11,"""Behold, O Arjuna, My hundreds and thousands of divine forms, of various colors and shapes, displaying numerous wonders in this vast universe.""",Verse 11.4,"Krishna to Arjuna: O Arjuna, behold My divine cosmic form! See the countless gods, the sages, and the vast, infinite manifestations of My being, all contained within Me. You shall witness the wonders of the universe in a single vision."
Chapter 11,"""Here you can see the gods and sages, the great rishis, and all the beings in the universe, as they are all present in My form.""",Verse 11.5,"Krishna to Arjuna: Behold the Adityas, the Vasus, the Rudras, the Ashvins, and the Maruts! See the countless divine forms, beyond human comprehension, manifested in My cosmic form."
